user_id,goal_name,target_amount,current_amount,due_date,investment_name,investment_type,amount_invested,current_value,currency,start_date,maturity_date,status,broker,portfolio,account_id,loan_amount,interest_rate,duration_months,monthly_payment,status_loan,account_name,account_type,balance,currency_acc,status_acc,goal_gap
19,Kupno mieszkania,74801.77,62196.3,2025-09-07,Investment_19,ETF,15869.21,20497.55,USD,2025-01-07,2029-02-01,Active,Broker_3,Portfolio_1,ACC_19,28641.64,3.69,43,666.08,Active,Account_19,Checking,58975.77,EUR,Inactive,12605.47
20,Wakacje,11819.6,5767.22,2025-09-05,Investment_20,ETF,31183.66,27281.76,USD,2024-04-16,2028-11-07,Active,Broker_2,Portfolio_3,ACC_20,18558.41,6.96,14,1325.6,Active,Account_20,Savings,34580.73,PLN,Inactive,6052.38
21,Wakacje,38304.99,17941.67,2025-09-11,Investment_21,Mutual Fund,22227.7,20170.23,USD,2024-06-29,2029-01-15,Inactive,Broker_3,Portfolio_2,ACC_21,8851.22,9.23,13,680.86,Closed,Account_21,Checking,69967.46,PLN,Inactive,20363.32
22,Wakacje,45905.81,19332.36,2026-03-01,Investment_22,Mutual Fund,19163.71,19070.19,PLN,2024-04-06,2026-06-10,Inactive,Broker_5,Portfolio_3,ACC_22,6667.44,3.58,39,170.96,Active,Account_22,Checking,29588.97,PLN,Active,26573.45
23,Nowy samochód,58309.26,18061.77,2025-12-16,Investment_23,Stock,5042.27,4599.31,EUR,2024-06-06,2027-05-09,Inactive,Broker_4,Portfolio_3,ACC_23,21733.85,2.15,29,749.44,Closed,Account_23,Checking,32084.89,EUR,Active,40247.49
24,Kupno mieszkania,94156.12,37622.44,2025-07-25,Investment_24,Bond,16443.12,24305.65,EUR,2024-10-28,2028-04-24,Active,Broker_5,Portfolio_1,ACC_24,14109.67,6.13,29,486.54,Closed,Account_24,Checking,81836.78,USD,Inactive,56533.68
25,Emerytura,47621.5,30319.14,2025-09-11,Investment_25,Mutual Fund,9150.88,12249.42,USD,2025-01-18,2030-02-07,Inactive,Broker_3,Portfolio_3,ACC_25,19879.1,3.81,45,441.76,Active,Account_25,Checking,70769.47,PLN,Inactive,17302.36
26,Wakacje,21462.27,10748.95,2025-06-30,Investment_26,Bond,30515.44,42976.79,USD,2024-11-01,2029-05-26,Inactive,Broker_1,Portfolio_2,ACC_26,24570.2,4.66,28,877.51,Active,Account_26,Savings,37738.22,EUR,Inactive,10713.32
27,Nowy samochód,84713.77,64560.61,2025-05-20,Investment_27,Mutual Fund,11751.48,16717.17,USD,2024-07-14,2028-11-18,Active,Broker_1,Portfolio_1,ACC_27,20889.25,2.55,34,614.39,Active,Account_27,Checking,30438.22,USD,Active,20153.16
28,Nowy samochód,76291.25,33202.78,2026-03-08,Investment_28,ETF,46414.84,48286.98,EUR,2024-10-20,2028-10-31,Active,Broker_5,Portfolio_2,ACC_28,3316.62,4.92,12,276.38,Closed,Account_28,Savings,52130.81,EUR,Inactive,43088.47
29,Nowy samochód,86983.02,66683.24,2025-07-09,Investment_29,Mutual Fund,49440.05,66604.54,PLN,2024-11-05,2028-11-26,Active,Broker_3,Portfolio_2,ACC_29,8631.88,2.63,15,575.46,Closed,Account_29,Savings,64179.18,USD,Inactive,20299.78
30,Wakacje,61322.11,38322.91,2026-01-20,Investment_30,ETF,29251.54,23446.11,PLN,2024-09-10,2029-01-06,Active,Broker_2,Portfolio_1,ACC_30,5832.78,9.64,31,188.15,Active,Account_30,Checking,6683.89,PLN,Inactive,22999.2
31,Kupno mieszkania,57316.82,3347.1,2026-02-24,Investment_31,Stock,30802.28,27330.08,PLN,2024-04-30,2029-01-24,Inactive,Broker_5,Portfolio_1,ACC_31,23403.27,8.5,49,477.62,Closed,Account_31,Checking,33676.67,PLN,Active,53969.72
32,Wakacje,57465.12,10128.4,2025-08-05,Investment_32,ETF,22407.91,23832.27,USD,2024-07-24,2028-11-25,Inactive,Broker_2,Portfolio_1,ACC_32,24772.95,8.1,20,1238.65,Active,Account_32,Savings,52583.14,EUR,Active,47336.72
33,Nowy samochód,65903.88,59334.88,2025-06-28,Investment_33,Mutual Fund,47096.59,47072.96,USD,2024-08-15,2029-09-11,Active,Broker_1,Portfolio_1,ACC_33,27119.49,1.43,50,542.39,Closed,Account_33,Checking,94445.63,EUR,Active,6569.0
34,Kupno mieszkania,90880.94,43081.05,2026-03-25,Investment_34,Bond,16025.04,12827.0,PLN,2024-10-23,2026-03-29,Active,Broker_5,Portfolio_1,ACC_34,16074.23,3.84,47,342.0,Closed,Account_34,Savings,17902.13,USD,Active,47799.89
35,Wakacje,13322.37,7490.24,2025-09-14,Investment_35,ETF,32687.01,33173.07,PLN,2024-09-18,2029-02-02,Active,Broker_5,Portfolio_2,ACC_35,24330.29,1.21,54,450.56,Closed,Account_35,Savings,54512.01,PLN,Active,5832.13
36,Wakacje,92708.49,2697.01,2025-11-05,Investment_36,Bond,27100.01,39008.48,EUR,2024-04-22,2027-06-05,Inactive,Broker_5,Portfolio_2,ACC_36,12367.76,3.55,25,494.71,Active,Account_36,Savings,5054.1,EUR,Active,90011.48
37,Emerytura,16162.64,9803.38,2026-01-21,Investment_37,Mutual Fund,18145.79,20819.97,USD,2024-07-23,2026-11-27,Inactive,Broker_3,Portfolio_2,ACC_37,5512.27,1.3,46,119.83,Closed,Account_37,Savings,25035.28,PLN,Inactive,6359.26
38,Wakacje,18378.0,11897.71,2025-07-13,Investment_38,Bond,7108.83,7346.48,EUR,2025-01-01,2029-12-08,Active,Broker_2,Portfolio_2,ACC_38,23595.5,1.07,31,761.15,Closed,Account_38,Checking,45452.46,EUR,Active,6480.29
39,Emerytura,68018.31,12398.36,2025-08-11,Investment_39,ETF,6519.8,9027.92,EUR,2024-07-18,2029-11-02,Active,Broker_5,Portfolio_1,ACC_39,25181.31,3.56,24,1049.22,Closed,Account_39,Checking,41162.51,USD,Active,55619.95
40,Emerytura,40850.23,36919.52,2025-07-26,Investment_40,ETF,34421.8,45228.29,USD,2024-12-03,2027-02-11,Active,Broker_4,Portfolio_1,ACC_40,1794.93,3.34,58,30.95,Active,Account_40,Savings,72430.36,USD,Inactive,3930.71
41,Wakacje,60032.04,9364.95,2025-07-19,Investment_41,Stock,12388.61,14881.68,PLN,2024-09-02,2029-04-29,Active,Broker_5,Portfolio_3,ACC_41,20827.52,4.2,40,520.69,Active,Account_41,Savings,26715.25,PLN,Inactive,50667.09
42,Wakacje,94910.57,5431.05,2025-10-08,Investment_42,Bond,32042.38,29589.56,USD,2024-06-06,2026-04-22,Inactive,Broker_5,Portfolio_1,ACC_42,6743.0,4.88,19,354.89,Active,Account_42,Checking,36892.4,EUR,Inactive,89479.52
43,Nowy samochód,12550.26,12030.06,2025-09-17,Investment_43,ETF,26420.13,22536.09,PLN,2024-06-18,2026-12-04,Active,Broker_1,Portfolio_1,ACC_43,24471.13,5.35,36,679.75,Active,Account_43,Savings,21313.1,EUR,Inactive,520.2
44,Kupno mieszkania,96212.34,35448.8,2025-12-11,Investment_44,Mutual Fund,25391.73,29519.11,USD,2024-05-15,2028-07-02,Active,Broker_5,Portfolio_2,ACC_44,21561.97,2.8,33,653.39,Active,Account_44,Checking,42999.43,USD,Inactive,60763.54
45,Wakacje,61830.45,29833.32,2025-08-21,Investment_45,Stock,30831.91,45501.73,EUR,2025-01-27,2026-10-04,Inactive,Broker_1,Portfolio_2,ACC_45,3866.91,8.18,41,94.31,Closed,Account_45,Checking,90823.07,PLN,Inactive,31997.13
46,Nowy samochód,31841.2,4254.56,2025-07-16,Investment_46,ETF,16956.08,24608.16,USD,2024-09-20,2029-10-10,Inactive,Broker_1,Portfolio_2,ACC_46,24433.37,2.59,22,1110.61,Active,Account_46,Checking,98747.54,PLN,Active,27586.64
47,Kupno mieszkania,11157.38,2937.8,2026-02-15,Investment_47,ETF,31146.18,44919.2,EUR,2024-10-08,2028-03-01,Active,Broker_3,Portfolio_2,ACC_47,5701.53,7.63,49,116.36,Active,Account_47,Savings,99277.52,EUR,Active,8219.58
48,Wakacje,59576.25,50561.95,2026-02-27,Investment_48,Stock,11207.88,15022.47,EUR,2025-01-13,2029-02-04,Active,Broker_1,Portfolio_1,ACC_48,13252.95,6.07,37,358.19,Active,Account_48,Checking,13065.9,PLN,Inactive,9014.3
49,Wakacje,58694.42,35540.94,2025-05-10,Investment_49,ETF,49788.92,60747.52,EUR,2024-08-31,2027-08-15,Inactive,Broker_4,Portfolio_3,ACC_49,8716.36,8.82,18,484.24,Active,Account_49,Savings,44720.59,USD,Active,23153.48
50,Emerytura,90521.42,16115.68,2025-07-30,Investment_50,ETF,24371.42,29492.24,PLN,2025-02-08,2028-10-22,Inactive,Broker_1,Portfolio_1,ACC_50,16022.12,9.17,29,552.49,Active,Account_50,Checking,34999.7,USD,Active,74405.74
